"Job Title",Company,Area,"Employer Email","Employer Contact Number",Salary,"Lower Salary Range","Upper Salary Range","Job Highlights","Job Description","Career Level",Qualification,"Years of Experience","Job Type","Company Website","Job Link","Job Functions",Industry,"Search Term","Date Posted","Date Scraped","Data Source",jobtick_avgsalary,jobtick_SQL,jobtick_Excel,jobtick_dashboard,jobtick_Python,jobtick_engineerjobs,jobtick_analystjobs,jobtick_scientistjobs
"Senior Lead Engineer/Lead Engineer, Machine Learning","Hong Kong Applied Science and Technology Research Institute Company Limited (ASTRI)","Not Specified",NULL,NULL,"Not Specified",NULL,NULL,"['Digital IC Design', 'Implement AI accelerator', 'AI system design']","['Reference #:\xa0CTO/ICS/MLP/2776/210827', 'Job Responsibilities', 'Carry out logic design, module-level or top-level verification', 'Work with the technical team to implement AI accelerator on FPGA/ASIC', 'Compile technical documents for the project deliverables, including hardware micro-architecture, test plans, test reports, etc', 'Assist in R&D project’s planning and management', 'Participating in AI system design and implementation for commercialization.', '\xa0', 'Requirements', 'PhD holder or Master’s degree in Computer Engineering, Electronic Engineering, Information Engineering, IC Design or relevant disciplines with minimum 3 years of related experience.\xa0 Candidates with less experience may also be considered', 'Experience in HDL (Verilog or VHDL) coding and verification is highly preferred', 'Experience in FPGA prototyping and debugging is an advantage', 'Research and development experiences in machine learning, computer vision, image processing or artificial intelligent relevant areas is a plus', 'Team player with good analytical and strong communication skills', 'Excellent analytical and troubleshooting skills is highly preferred', 'Creative, self-motivated and good problem-solving skills is preferred', 'Live ASTRI values', 'Application', 'The appointment will be on renewable contract terms with a competitive salary and performance-linked variable pay. Fringe benefits include paid leave, medical and dental benefits, insurance coverage and contribution to MPF. The incumbent will normally work a five-day week.', 'Interested candidates please send application (quoting Ref. No.) with detailed resume, current and expected salary to Talent Acquisition by clicking Apply Now.', 'Application will be open until the position is filled. Only short-listed candidates will be notified. ASTRI reserves the right not to fill the position.', 'ASTRI is an Equal Opportunities Employer. Personal data provided by job applicants will be used exclusively for recruitment only.']",Senior,Degree,-1,"Full Time, Contract",http://www.astri.org,/hk/en/job/senior-lead-engineer-lead-engineer-machine-learning-100003008817117,"Engineering, Electrical / Electronics, Information Technology (IT), Software Development, Data Scientist","Information Technology","Data Scientist",10-18-2021,22-10-2021,JobsDB,NULL,NULL,1,NULL,NULL,1,NULL,NULL
"Senior Product Analysis/Product Analysis","China Telecom Global Limited","Not Specified",NULL,NULL,"Not Specified",NULL,NULL,"['Degree holder in Statistics, Economics', 'At least 5 yrs experience in product analytics', 'Competitive salary package']","['Key\xa0Responsibilities:', 'Manage a line of products throughout its full life cycle', 'Perform market research and collect customer feedbacks, analyse market data, trends, and behaviors to provide insights and recommendations on product launch strategy', 'Monitor product performance, perform regular product P&L, forecast and operation analysis', 'Conduct quantitative analysis and data mining to support business decisions and provide data-driven recommendations', 'Model analysis and generate reports and presentations on findings for internal review', 'Communicate results and recommendations to all levels of the company including senior management', 'Maintain a proactive communication with internal departments (e.g. Operation, Business, Product, IT etc.) , to gain an understanding of the problems to be solved and gather requirements for analysis tasks', 'Provide market expertise and support product manager in generating new product feature ideas, and marketing manager in go-to-market programs', 'Job Requirements:', 'Degree holder in Statistics, Economics, Business Research, Computer Science, Engineering, or related disciplines', 'At least 5 years relevant experience in product analytics, with experience of Telecom industry or IT products', 'Demonstrated experience with quantitative analysis, putting complex data into key components of business decisions', 'Strong writing and visualization skills with the ability to communicate complex quantitative analysis', 'Good knowledge of Telecom services, network infrastructure and new information technologies', 'Able to work independently', 'Familiar with Microsoft Office, Excel, PowerPoint and database programs', 'Excellent\xa0command of both spoken and written Chinese and English', 'We offer 5 days work, competitive salary package and attractive career development opportunities to the right candidate.\xa0', 'Interested parties please email your full resume with your current & expected salary to us.', 'Applicants not invited for interview within 3 months may assume their applications unsuccessful.\xa0', 'If you are interested in other job opportunities, please check with below career website.', 'Personal data collected would be used for recruitment purpose only.\xa0']",Senior,"Not Specified",-1,"Full Time, Permanent",https://www.chinatelecomglobal.com/careers,/hk/en/job/senior-product-analysis-product-analysis-100003008828096,"Engineering, Telecommunication / Wireless / Radio, Information Technology (IT), Product Management / Business Analyst, Marketing / Public Relations, Marketing - Market Research",Telecommunication,"Data Scientist",10-20-2021,22-10-2021,JobsDB,NULL,NULL,1,NULL,NULL,NULL,1,NULL
"BUSINESS ANALYST","MPower Technologies Limited","Not Specified",NULL,NULL,"Not Specified",NULL,NULL,"['Business Analyst, strong troubleshooting skills', 'AWS, google Cloud (BigQuery, Data Studio), SaaS', 'Adv. expertise in software development methodology']","['Enterprise Software Development Team', 'This team will design and build out next\xa0generation\xa0enterprise technology for our enterprise customers and help us manage our expanding array of products and bring the MPower brand to more people.\xa0 A role in this team involves a dynamic work environment, supporting product development with loads of creativity and exciting hands-on day-to-day work with local and international retail brands. Our ideal team player will have a genuine passion for product development, and a strong interest in MPower’s future of work mission and the ability to work with our team in a collaborative environment. We’re looking for experienced startup-to-growth stage veterans who have built and led scalable teams who have delivered SaaS products to enterprise clients. We’re lean and nimble, where everyone plays a key role and is experienced enough to understand the right balance of process and getting stuff done. We participate, delegate, and accomplish. If you share our entrepreneurial spirit or you know someone else who would fit the bill perfectly then we look forward to hearing from you!', 'BUSINESS ANALYST', 'Details on the role and specific requirements below', 'Job Description:', 'Work with business stakeholders to gather and understand requirements', 'Analyze competitive landscape to ensure relevance of an evolving roadmap', 'Drive digital business solution design to align with short and long term revenue targets', 'Collect operation analyzing requirements from different parties, build the analysis models, and help form IT requirements to execute these model', 'Implement well managed, working and permanently improving software delivery process, managed team backlog for 2 to 3 sprints regularly', 'Perform user acceptance test and assist the stakeholders to sign-off UAT. write test plans and test cases, prepare system documentation', 'Act as the key interface between business users and technical developers', 'Track and optimize for customer success', 'Requirements:', 'Degree or\xa0Diploma in Computer Science or related discipline a plus', 'Minimum 4 years of related IT experience across entire software development lifecycle for delivery of software solutions', 'Passion for enterprise software and driving positive change', 'Advanced expertise in software development methodologies-Design Thinking, Agile and DevOPs is beneficial', 'Well-developed analytical, problem-solving, and decision-making skills, leveraging both logic and creativity', 'Strong troubleshooting skills; ability to identify patterns and generate ideas', 'Excellent interpersonal and communication skills, strong verbal and written skills', 'Proficiency in both iOS and Android application development', 'Proficiency in Web and App UI development', 'Experience in AWS, google Cloud (BigQuery, Data Studio) and other Cloud service', 'Experience in SaaS product development is preferable', 'HOW TO APPLY', 'please email to us\xa0with your', 'resume/ curriculum vitae', 'salary expectations', 'why you would like to work at MPower', 'include two enterprise SaaS solutions your think we can learn from', 'Personal data collected will be used for recruitment purposes only and will be treated in strict confidence.\xa0 Applicants not invited for interview within\xa04 months\xa0may consider their applications unsuccessful.', '\xa0']",Middle,Degree,4,"Full Time, Permanent","Not Specified",/hk/en/job/business-analyst-100003008823910,"Information Technology (IT), Application Specialist - Software, Product Management / Business Analyst, Software Development",Others,"Data Scientist",10-18-2021,22-10-2021,JobsDB,NULL,NULL,1,NULL,NULL,NULL,1,NULL
"Business Analyst / Senior Business Analyst - ERP/CRM","Konica Minolta Business Solutions (HK) Limited","Not Specified",NULL,NULL,"Not Specified",NULL,NULL,"["4 years' relevant working experience", 'CRM, ERP implementation', 'Stable, Work-life Balance']","['Jobs Duties', 'Liaise with internal and/or external party to support project implementation and problem resolution', 'Formulate the operation manuals, policies, and procedures to enhancement operation efficiency', 'Capture business requirements and translate them in technical/functional system specifications', 'Ensure all development, testing tasks are traceable to the requirement and user stories', 'Identifying internal workflows and requirements, resolving critical problems, and addressing potential risks of system application', 'Perform User Acceptance Test (UAT) and after launch support of different applications', 'Ad-hoc duties as assigned', 'Requirement', 'Higher Diploma in Computer Science, Information\xa0Information Technology or related disciplines', 'At least 4 years relevant working experience', 'Hands-on experience in Microsoft Navision or other ERP system, Dynamics CRM implementation is preferred', 'Strong in MS O365,Azure, VMWare, Linux, Microsoft Windows Server', 'Ability to work independently and proactively in a dynamic environment', 'Good knowledge on computer hardware, systems and software applications', 'Self-starter, project management skills, flexible in approach and methodology and the ability to show initiatives and meeting deadlines', 'Strong problem solving and analytical abilities', 'Immediately available is preferred']",Middle,"Non-Degree Tertiary",4,"Full Time, Permanent","Not Specified",/hk/en/job/business-analyst-senior-business-analyst-erp-crm-100003008821836,"Information Technology (IT), Application Specialist - Software, IT Project Management / Team Lead, Product Management / Business Analyst","Trading and Distribution","Data Scientist",10-18-2021,22-10-2021,JobsDB,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
"Data engineer in Financial Industry","CKC Solutions Limited","Not Specified",NULL,"['2885 8865']","Not Specified",NULL,NULL,"['Data Management & Analytics', 'Big data, data warehouse', 'Attractive package and benefit, Permanent role']","['Job Description', 'Responsibilities:', 'Develop and analysis the Data Management Solution, including data lake, data warehouse and customized data pipelines', 'Perform the conceptual model, data model and perform data aggregation in order to support analytics and data science use cases', 'Work with different teams to develop analytics and data science use cases', 'Evaluate and recommend the technical solutions, including software tools and technologies, design and develop architecture and application as to present the analysis result.', 'Requirements', 'Bachelor degree in Computer Science and Information Technology or related disciplines', 'Over 5 years working experience on\xa0implementing data warehouse / big data solution', 'Experience with Tensorflow, data integration tools (ETL) and data visualization tools', 'Interest in data management, data analysis and business intelligence', 'Familiar with programming languages like R, Python etc', 'A good team player with sound analytical and problem solving skills, willing to take challenges', 'Good interpersonal, presentation and communication skills', 'Good command of spoken and written in English and Chinese', 'This is a great opportunity to\xa0be part of the team and get more new exposure. If you are interested in this role please send us your CV or call us on +852 2885 8865 for a further discussion.']",Entry,"Not Specified",-1,"Full Time, Permanent","Not Specified",/hk/en/job/data-engineer-in-financial-industry-100003008807117,"Information Technology (IT), Application Specialist - Software, Others, Data Scientist","Human Resources Management/Consultancy","Data Scientist",10-11-2021,22-10-2021,JobsDB,NULL,NULL,NULL,NULL,1,1,NULL,NULL
"BUSINESS SOLUTIONS EXECUTIVE (5-Day Work)","Global Logistics System (HK) Co Limited","Not Specified",NULL,NULL,"Not Specified",NULL,NULL,"['Air cargo industry projects', 'Good career prospect in project management', 'Life+dental+family medical&discounted air ticket']","['Job Responsibilities:', 'Support the day-to-day business solutions delivery and implementation function.', 'Conduct business readiness and impact assessments.', 'Assist in identifying and prioritizing user process improvement opportunities.', 'Consolidate business intelligence / new user requirements and analyze impacts.', 'Review existing solutions / products for continuous improvement.', 'Generate new business solution concepts', 'Oversee and support the development, evaluation and implementation of business solutions.', 'Conduct and evaluate User Acceptance Tests (UAT).', 'Coordinate and execute user support activities', 'Oversee subscriber account creation / termination.', 'Maintain requirement documentation / user manual / product material.\xa0', 'Share industrial knowledge and latest industrial trends with various teams.', 'Handle ad hoc tasks and projects when required.', 'Job Requirements:', '\xa0', 'University Graduate preferably in I.T. or business related disciplines', 'Certification by PMI or equivalent an advantage\xa0', 'Experience in user experience (UX) design and website graphical design is a plus\xa0', 'Experience in understanding customer business processes / developing and implementing reusable and standard end-to-end technology solutions an advantage\xa0', 'Minimum 3 years solid working experience on I.T. solutions development or business development\xa0', 'Sound knowledge on logistics industry, preferably in cargo industry\xa0', 'Good business acumen with strong problem solving, project management, communication and interpersonal skills\xa0', 'Proven team player with a mature and positive attitude\xa0', 'Strong sense of responsibility, self-motivated and able to work independently\xa0', 'Good command of written and spoken English and Chinese (Cantonese and Mandarin)', 'We offer ', '5-day work', ' and attractive remuneration, ', 'medical and dental insurance', ', ', 'provident fund', ' and other fringe benefits including ', 'discounted air tickets', ' on Cathay Pacific Airways to the right candidate and his/her dependents etc. Interested parties, please submit your detailed CV, stating your present and ', 'expected salary', ' and ', 'availability', ' to us.\xa0', 'We are an equal opportunity Employer. All CVs and personal data collected are for recruitment purposes and the information will be kept confidential.']",Entry,Degree,3,"Full Time","Not Specified",/hk/en/job/business-solutions-executive-5-day-work-100003008820851,"Information Technology (IT), Product Management / Business Analyst, Software Development","Information Technology","Data Scientist",10-18-2021,22-10-2021,JobsDB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Business Analyst/Senior Business Analyst","China Mobile Hong Kong Company Limited","Not Specified",NULL,NULL,"Not Specified",NULL,NULL,"['Business Analyst Role', 'Competitive pay, Good fringe benefits', '5-day work']","['CHINA', ' MOBILE HONG KONG COMPANY LIMITED', '\xa0("CMHK") is the wholly-owned subsidiary of China Mobile Limited (HKEx: 941) (NYSE: CHL), which ranks 56th on the Fortune Global 500.', 'Our company strives to offer superior service experience and to become the preferable digital partner for customers. We are preserving an environment with trust, responsibility and caring. At CMHK, we commit to maximizing people’s potential and paving the way toward success for every striver. We are now inviting high caliber professional to join us.', 'In this position, you will', ':', 'Manage business requirements gathering, analysis and documentation. Act as a bridge between business users, technical team and vendors to ensure the business requirements well address business needs', 'Develop, review, and edit requirements, specifications, business processes and recommendations related to a proposed solution', 'Work closely with development team and external vendors to ensure the requirements can be completed timely\xa0', 'Prepare and maintain technical specification and documentation', 'To be successful in this position, you should meet the following requirements:', 'Bachelor Degree in Computer Science, Business Analytics, Information Technology, Logistics or other related discipline', '3 years related working experience, preferably in Telecom Industry', 'Practical experience in understanding, analyzing and verifying user requirement versus business processes to develop programmable documents', 'Good command of written and spoken English and Chinese (including Putonghua)', 'Self-motivated, positive, able to work under pressure with emphasis on deliverables', 'Good communication and interpersonal skills', 'When you work:', '5 days work', '8 hours/day', 'What you enjoy', ':', 'Double pay', 'Discretionary performance bonus', 'Life insurance', 'Medical insurance', 'Birthday gift', 'Marriage leave', 'Birthday leave', 'Compassionate leave\xa0', 'Staff discount', '\xa0', 'CMHK is committed to be an equal opportunity employer. We offer exceptional benefits package and the opportunity to work in a challenging environment. Personal data provided by applicants will be treated strictly in accordance with our personal data policy and for recruitment purposes only.', 'Please submit your application to us by clicking the ', 'APPLY NOW ', 'button and completing the on-line application process.']",Middle,Degree,3,"Full Time, Permanent",http://www.hk.chinamobile.com,/hk/en/job/business-analyst-senior-business-analyst-100003008830437,"Information Technology (IT), IT Management, Product Management / Business Analyst, Others",Telecommunication,"Data Scientist",10-20-2021,22-10-2021,JobsDB,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
"IT Business Analyst","Zero Finance Hong Kong Limited","Not Specified",NULL,NULL,"Not Specified",NULL,NULL,"['IT Business Analyst', 'Design and prototyping tools', 'Knowledge in banking / finance operations']","['Job Description', 'In this role, you will perform:', 'Manage business requirements gathering, analysis and documentation. Act as a bridge between business users, technical team and vendors to ensure the business requirements well address business needs', 'Develop, review, and edit requirements, specifications, business processes and recommendations related to a proposed solution', 'Work closely with development team and external vendors to ensure the requirements can be completed timely.', 'Prepare test plans, conduct testing, coordinate UAT and provide user training.', 'Provide technical support to Sales / Business Unit team on product development, pre- and post-sales process', 'To be successful in this role, you should meet the following requirements:', '\xa0', 'Diploma holder or above in Computer Science / Information Technology or other related disciplines', '1 to 3 years related working experience', 'Knowledge in banking / finance operations and mobile technology is a plus', 'Proficiency in design and prototyping tools, ideally MS Office, Axrue RP, MS Visio', 'Practical experience in analyzing and verifying user requirements versus business processes to develop programmable documents', 'Good command of written and spoken English and Chinese (including Putonghua)', 'Self-motivated, positive, able to work under pressure with emphasis on deliverables', 'Good communication and interpersonal skills', 'Company Website:\xa0', 'https://www.zerofinance.hk/zh/', '\xa0', 'Attractive remuneration package will be offered to the right candidate. Please apply with full resume stating present and expected salary to us by\xa0clicking', '\xa0“APPLY NOW”', '.', '(Personal data collected will be used for recruitment purpose only.)']",Middle,"Non-Degree Tertiary",1,"Full Time, Permanent","Not Specified",/hk/en/job/it-business-analyst-100003008837476,"Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Product Management / Business Analyst, Mobile / Wireless Communications","Financial Services","Data Scientist",10-22-2021,22-10-2021,JobsDB,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
"Business Analyst - Banking Projects","Excel Technology International (Hong Kong) Limited","Not Specified",NULL,NULL,"Not Specified",NULL,NULL,"['Business Analyst for banking projects', 'Knowledge of SQL, BI or reporting tools', 'Fresh graduates are welcome']","['Responsibilities:', 'Act as a key interface between business users and technical developers.', 'Perform feasibility study for new IT initiatives and business analysis on banking applications.', 'Prepare User Acceptance Test (UAT) plans and coordinate overall UAT.', 'Conduct training to end users on new system functions.', 'Assist in project management and implementation.', 'Requirements:', 'Bachelor’s degree in Computer Studies, Information Technology or equivalent.', 'Knowledge of SQL, any BI tools or reporting tools preferred.', 'Self-motivated, possess analytical-mind and excellent problem-solving skills.', 'Able to work with end users, in-house development team and external vendors.', 'Good command in written and spoken English and Chinese.', 'For application, please send your ', 'detailed resume with current and expected salary', ' to Human Resources Manager, Excel Technology International (HK) Limited, 5th Floor, 663 King’s Road, North Point, Hong Kong or click Apply Now.', 'Data collected from applicants will be kept confidential and only be used for recruitment purpose.']",Entry,Degree,-1,"Full Time, Permanent",http://www.excel.com.hk,/hk/en/job/business-analyst-banking-projects-100003008835383,"Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Product Management / Business Analyst, E-commerce, Product Management / Business Analyst","Information Technology","Data Scientist",10-22-2021,22-10-2021,JobsDB,NULL,1,1,NULL,NULL,NULL,1,NULL
"Business Analyst","Klook Travel Technology Limited","Not Specified",NULL,NULL,"Not Specified",NULL,NULL,"['An awesome team of international colleagues', 'Experience in programming or analytic tools', 'Ownership of projects with real impact']","['About Analytics', 'We unlock the power of data to help teams at Klook drive business impact and make the best decisions. Working with teams across the company, we ensure Klook is solving problems with appropriate and accurate data.', "What you'll do", 'Strategize and work with tech team on data collection to enable business decisions, such as operations optimization and product mix strategies', 'Analyze business data regularly to identify business opportunities and operational improvement opportunities', 'Conduct in-depth analytical studies combining external research data and internal business analytics to facilitate senior management decisions', 'Collaborate with tech and business lines to automate operational processes based on business analysis insights such as inventory management, service level monitoring etc.', 'Design comprehensive and user friendly dashboard for business line teams', '\xa0', "What you'll need", "At least 1-3 years of experience in business analysis with a Bachelor's degree in Mathematics, Statistics, Computer Science, Business or Economics", 'Experience in programming or analytic tools such as SQL, VBA, Google Data Studio, Tableau, Google Analytics and Adobe Analytics', 'Experience in travel, ecommerce, or tech startups is a plus Track record of successfully driving cross departmental projects', 'Fluent in spoken Cantonese/ Mandarin and English', 'Eager to work in a fast-paced environment', 'A start-up attitude – highly collaborative with an entrepreneurial, roll-up-your sleeves attitude that’s not afraid to work independently when required', 'Globally-minded and comfortable working with people from different cultural background and in different time zones', 'What you’ll get\xa0', 'An awesome team of international colleagues\xa0', 'A rare chance to build a global travel and leisure brand with a loooong runway of opportunities ahead', 'An environment that values and supports your growth\xa0', 'Ownership of projects with real impact', 'No boredom! Every day is a new exciting challenge']",Entry,Degree,1,"Full Time, Permanent","Not Specified",/hk/en/job/business-analyst-100003008809096,"Professional Services, Business Analysis / Data Analysis, E-commerce, Product Management / Business Analyst, Information Technology (IT), Data Scientist","Information Technology","Data Scientist",10-11-2021,22-10-2021,JobsDB,NULL,1,NULL,1,NULL,NULL,1,NULL
"Assistant Business Analyst - CRM (REF: JDB-IT-ABA-CRM)","I.T Apparels Limited","Not Specified",NULL,NULL,"Not Specified",NULL,NULL,"['Gather and translate details business requirements', 'Identify gaps between vendors and users’ requireme', '1 years’ relevant work experience']","['Responsibilities', 'Gather and translate details business requirements into functional specifications document', 'Work closely with different business units to understand, analyze, model, and streamline their business processes', 'Identify gaps between vendors and users’ requirements, and provide a workaround or alternate solution', 'Convey and clarify users’ business objectives and functional requirements to the development team to ensure deliverable meets business needs', 'Observe industry trends and recommend new features or solutions to the development team', 'Liaise with the solution architect to balance business requirements and technical feasibility and to define technical solutions', 'Requirments', 'Degree in Business or Information System/ Technology', '1 years’ relevant work experience in eCommerce & CRM domains preferred', 'Possess high interest in eCommerce & CRM', 'Knowledge in product trends and experience with various architectures and methodologies', 'Be able to assess and validate activities and to determine if a solution has fulfilled the requirements', 'Strong analytical abilities and ability to identify key results and critical solutions that support business objectives', 'Able to present or propose ideas clearly', 'A team player with good communication skills', 'Self-motivated individual who thrives in a fast-paced environment', 'All data collected is for recruitment purposes only.']",Entry,"Non-Degree Tertiary",1,"Full Time, Permanent",http://www.ithk.com,/hk/en/job/assistant-business-analyst-crm-ref%3A-jdb-it-aba-crm-100003008832765,"Information Technology (IT), Support, Product Management / Business Analyst, Technical Writing","Wholesale / Retail","Data Scientist",10-21-2021,22-10-2021,JobsDB,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
"Database Specialist","Hutchison Telecommunications (Hong Kong) Limited","Not Specified",NULL,NULL,"Not Specified",NULL,NULL,"['DB installation, tuning, troubleshooting and other', 'Experience in Oracle RAC, DataGuard, OEM Exadata', 'MongoDB, MSSQL, MySQL will be highly preferred']","['Responsibilities:', 'Responsible for DB installation, tuning, troubleshooting, patching, backup and recovery activities.', 'Act as subject matter expert in DB area to support application / project teams.\xa0', 'Manage DB related security compliance and capacity planning.', 'Participate in incident / after hours support as required.', 'Maintain technical and reference documentation.\xa0', 'Hands on experience in Oracle RAC, DataGuard, OEM and Exadata.\xa0', 'Support experience on MongoDB, MSSQL, MySQL will be highly preferred.', 'Requirements:', 'Bachelor degree holder in Computer Science.', 'Oracle Certified Professional is required.', '5 years working experience or above\xa0in DBA solid experience.\xa0', 'Knowledge in MS Office, Windows, Unix and Linux is\xa0a must.', 'Knowledge in PL/SQL, Unix scripts, Oracle, MongoDB, MSSQL, MySQL is\xa0a must.', 'Able to communicate in both technical and general context is preferred.', 'Good written and spoken English and Chinese (including\xa0Mandarin)\xa0is a must.', 'Apart from competitive remuneration package and exciting opportunity for career development within the Group, we provide attractive employee benefits such as free company shuttle, free company SIM card and preferential SIM plan offers, comprehensive medical & insurance schemes, as well as full range of other employee well-being provisions.\xa0', 'Interested parties, please apply with full resume, present and expected salary, by clicking “APPLY NOW”. Please quote the reference number on the e-mail subject.', 'We are an equal opportunity employer and welcome applications from all qualified candidates. Personal data collected will be treated in the strictest confidence and handled confidentially by authorised personnel for recruitment-related purposes only within the CK Hutchison Group of companies. The personal data of unsuccessful applicants will be destroyed after the recruitment exercise pursuant to the requirements of the Personal Data (Privacy) Ordinance in Hong Kong.']",Middle,Degree,5,"Full Time, Permanent","Not Specified",/hk/en/job/database-specialist-100003008834811,"Information Technology (IT), DBA, Support, Others",Telecommunication,"Data Scientist",10-22-2021,22-10-2021,JobsDB,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
"Business Analyst (IT)","FuSure Reinsurance Company Limited","Not Specified",NULL,NULL,"Not Specified",NULL,NULL,"['Great job exposure', 'Start-up', 'Excellent career prospect']","['Job Description:', "Assist in building an IT system or promote process automationaccording to the company's strategy;", 'Responsible for the demand and functional analysis of the core reinsurance system, and support in optimizing the system and processes in conjunction with business scenarios;', 'Participate in requirement survey and prepare business specifications and project solutions according to business requirements;', 'To manage IT service/software vendors to determine the implementation plan to ensure the overall project can be delivered within the reasonable time;', 'Participate in system UAT and upgrade acceptance testing, and be responsible for the preparation of user manuals and training materials;', 'Other ad-hoc projects/tasks assigned by supervisor.', 'Experience and Qualification', 'Bachelor Degree with Information Technology, Engineering and or related disciplines;', 'Minimum 5 years of relevant experience from insurance/reinsurance companies;', 'Solid track record in core system implementation experience;', 'Excellent project management and communication skills, candidate with PMP qualification will be in advantageous;', 'Familiar with MockingBot, sketch, Axusre, Visio, xmind etc is highly preferable;', 'Familiar with overall product implementation process ie business analysis, product function and business process design etc.;', 'Fluent ', 'Mandarin', ' is a must.', 'Interested party please submit your updated CV together with your expected salary and availability by clicking the "Apply Now" button below.\xa0 All information received will be treated in strict confidence and used for recruitment purpose only.']",Middle,Degree,5,"Full Time, Permanent","Not Specified",/hk/en/job/business-analyst-it-100003008829329,"Information Technology (IT), IT Project Management / Team Lead, Product Management / Business Analyst, Others","Insurance/Pension Funding","Data Scientist",10-20-2021,22-10-2021,JobsDB,NULL,NULL,1,NULL,NULL,NULL,1,NULL
"Data Analytics Lead",TEKsystems,"Not Specified",NULL,NULL,"Not Specified",NULL,NULL,"['Data Transformation', 'Data Analytics Lead', 'Tabelau and Alteryx']","['This role sits under the International Sales Operations team that focuses on Sales Performance, forecasting and projection. The team is made up of 12 people across Phillipines and Hong Kong, with a mix between Operations and Data. They have an exisiting person who is in the role now, however, this person is leaving and they are looking to replace them.', 'This person will be involved in leading 2 junior team members in HK and Phillipines. They will be responsible for the following:', '- Using Alteryx to run daily operational data', '- Using tableau to build dashboards for Commision of indirect agents and', '- Using Einstein dashboards (salesforce) to provide a customised for for all sales persons data', 'The role will be 50% business facing and team management as well as 50% technical focused (ie. building dashboards etc).', 'Top 3 skills:', '1. 5-7 years data analysis experience', '2. Alteryx', '3. Tableau/Power BI (Einstein nice to have)', '4. Good English communciation']",Senior,"Not Specified",-1,"Full Time","Not Specified",/hk/en/job/data-analytics-lead-100003008817613,"Information Technology (IT), Data Scientist",Hospitality/Catering,"Data Scientist",10-15-2021,22-10-2021,JobsDB,NULL,NULL,NULL,1,NULL,NULL,1,NULL
"Business Analyst","Landray Growth Software (HK) Limited","Not Specified",NULL,NULL,"Not Specified",NULL,NULL,"['Attractive remuneration pacakge', 'Creative & friendly working environment', 'Professional development opportunities']","['Responsibilities:', '•\xa0 \xa0Participate in various office automation software projects; ensure the quality and timely delivery of system;', '•\xa0 \xa0Collect and analyze information from admin users for preparing user requirements;', '•\xa0 \xa0Perform User Acceptance Test;', '•\xa0 \xa0Conduct end-user training;', '•\xa0 \xa0Support ad hoc production problems.', 'Requirements:', '•\xa0 \xa0Diploma or Degree holder;', '•\xa0 \xa00-3 years of working experience;', '•\xa0 \xa0Experience in system development projects is an advantage;', '•\xa0 \xa0Good analytical and problem-solving skills;', '•\xa0 \xa0Detail-oriented and strong communication skill with different levels;', '•\xa0 \xa0Good command of both written and spoken in Cantonese, English and Mandarin;', '•\xa0 \xa0Good team player and able to work independently;', '•\xa0 \xa0Able to work under pressure to meet tight deadlines;', '•\xa0 \xa0Candidates with more experience will be considered as Senior Business Analyst', 'We offer attractive package and career development opportunity to the right candidates. Interested parties, please email your CV with your current and expected salary.']",Entry,"Non-Degree Tertiary",-1,"Full Time","Not Specified",/hk/en/job/business-analyst-100003008824162,"Information Technology (IT), Product Management / Business Analyst, Software Development","Information Technology","Data Scientist",10-19-2021,22-10-2021,JobsDB,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
